Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,AcadOrg,Instructor,Capacity,Room,MtgStart,MtgEnd,Days,StartDate,EndDate,Term,Campus,ClassNbr,TotalCredits,DUP,FULL,OVER
MTH,161,50H,LEC,8W1,3,3,1,28,STEM,"Townes,Anthony Whitney",32,311,7:00:00 PM,9:40:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35487,3,,,
GOL,111,01H,LEC,8W1,4,4,2,20,STEM,"Tulipani,Diane C",24,437,11:00:00 AM,1:50:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,35499,8,,,
GOL,111,01HL,LAB,8W1,0,0,2,20,STEM,"Tulipani,Diane C",24,437,2:00:00 PM,4:50:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,35500,0,,,
NAS,206,20H,LEC,8W1,3,3,4,10,STEM,"Weygand,Dennis P",15,427,9:30:00 AM,12:20:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,40316,12,,,
PHY,241,50W,LEC,8W1,4,4,5,24,STEM,"Weygand,Dennis P",24,304,4:00:00 PM,6:45:00 PM,TR,5/23/2022,7/18/2022,2223,HT,35270,20,,,
PHY,241,50WL,LAB,8W1,0,0,5,24,STEM,"Weygand,Dennis P",24,236,7:00:00 PM,9:40:00 PM,TR,5/23/2022,7/18/2022,2223,HT,35271,0,,,
MTH,161,DG50,DED,8W1,3,3,3,18,STEM,"Whitney,Kenya S",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35557,9,,,
IND,243,01H,LEC,DYN,3,3,4,4,STEM,"Wilcox IV,Clarence Richard",25,NHTC,12:15:00 PM,2:45:00 PM,MWF,5/9/2022,6/10/2022,2223,MAIN,35404,12,,FULL,
IND,243,X01H,LEC,DYN,3,3,11,12,STEM,"Wilcox IV,Clarence Richard",25,NHTC,7:40:00 AM,10:10:00 AM,MWF,5/9/2022,6/10/2022,2223,MAIN,39645,33,,,
IND,243,X02H,LEC,DYN,3,3,8,10,STEM,"Wilcox IV,Clarence Richard",25,NHTC,12:15:00 PM,2:45:00 PM,MWF,5/9/2022,6/10/2022,2223,MAIN,39648,24,,,
IND,243,20HL,LAB,DYN,3,0,4,4,STEM,"Young,Julie A",25,NHTC,12:15:00 PM,2:45:00 PM,TR,5/9/2022,6/10/2022,2223,MAIN,35568,0,,FULL,
IND,243,X02L,LAB,DYN,3,0,8,10,STEM,"Young,Julie A",25,NHTC,12:15:00 PM,2:45:00 PM,TR,5/9/2022,6/10/2022,2223,MAIN,39649,0,,,
MEC,132,01H,LEC,DYN,3,3,2,15,STEM,"Young,Julie A",32,311,9:00:00 AM,11:30:00 AM,MW,5/9/2022,7/1/2022,2223,MAIN,35507,6,,,
MEC,132,C90H,LEC,DYN,3,3,5,5,STEM,"Young,Julie A",32,311,9:00:00 AM,11:30:00 AM,MW,5/9/2022,7/1/2022,2223,MAIN,39659,15,,FULL,
UMS,107,D01,DED,DYN,3,3,0,16,STEM,"Young,Julie A",30,TUAL, , , ,5/9/2022,7/1/2022,2223,MAIN,39680,0,,,
BIO,141,D01L,LAB,8W1,0,0,19,30,STEM,"Zahn,Kimberly Demnicki",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35277,0,,,
BIO,141,D02,DED,8W1,4,4,24,30,STEM,"Zahn,Kimberly Demnicki",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35283,96,,,
BIO,141,D02L,LAB,8W1,0,0,24,30,STEM,"Zahn,Kimberly Demnicki",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35284,0,,,
BIO,141,D03,DED,8W1,4,4,16,30,STEM,"Zahn,Kimberly Demnicki",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41385,64,,,
BIO,141,D03L,LAB,8W1,0,0,16,30,STEM,"Zahn,Kimberly Demnicki",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41386,0,,,
BIO,142,D03,DED,8W1,4,4,3,30,STEM,"Zahn,Martin D",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41516,12,,,
BIO,145,D01,DED,8W1,4,4,7,30,STEM,"Zahn,Martin D",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35541,28,,,
BIO,145,D01L,LAB,8W1,0,0,7,30,STEM,"Zahn,Martin D",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35542,0,,,
